true_label,true_text,pred_label,pred_text,count
325,__BLANK__,37,곳,459
325,__BLANK__,273,차내리다,191
63,내리다,325,__BLANK__,176
325,__BLANK__,63,내리다,175
325,__BLANK__,81,도착,141
150,서울농아인협회,311,한국농아인협회,127
325,__BLANK__,72,다음,124
37,곳,72,다음,119
38,곳곳,37,곳,111
273,차내리다,325,__BLANK__,107
325,__BLANK__,247,저기,105
325,__BLANK__,23,가다,100
325,__BLANK__,123,방법,83
23,가다,325,__BLANK__,82
325,__BLANK__,168,실종,81
325,__BLANK__,269,지하철,81
325,__BLANK__,100,맞다,80
325,__BLANK__,131,보다,79
247,저기,37,곳,69
140,뼈곳,37,곳,69
